,tweet_id,retweet_count,favorites,jpg_url,img_num,true_prediction,prediction_confidence,name_of_dog,status_of_dog,new_rating
0,891815181378084864,3809,23702,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,Archie,,1.2
1,891327558926688256,8556,38034,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,,,1.2
2,891087950875897856,2859,19139,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,0.425595,,,1.3
3,890729181411237888,17333,61548,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,,,1.3
4,890609185150312448,3944,26362,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.487574,Zoey,,1.3
5,890006608113172480,6745,29009,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,,,1.3
6,889638837579907072,4130,25582,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog,0.99165,Ted,,1.2
7,889278841981685760,4905,23816,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet,0.626152,Oliver,,1.3
8,888917238123831296,4142,27527,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,golden_retriever,0.714719,Jim,,1.2
9,888554962724278272,3206,18683,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian_husky,0.700377,,,1.3
10,888078434458587136,3182,20576,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French_bulldog,0.995026,,,1.2
11,887705289381826560,4945,28570,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,basset,0.821664,Jeffrey,,1.3
12,887343217045368832,9620,31815,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,Mexican_hairless,0.330741,,,1.3
13,887101392804085760,5479,28946,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,Samoyed,0.733942,,,1.2
14,886983233522544640,7062,33073,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2,Chihuahua,0.793469,,,1.3
15,886736880519319552,2960,11350,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,kuvasz,0.309706,Mingus,,1.3
16,886366144734445568,2909,19987,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1,French_bulldog,0.999201,Roscoe,pupper,1.2
17,885984800019947520,6180,30803,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1,Blenheim_spaniel,0.972494,Jimbo,,1.2
18,885528943205470208,5876,34000,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,1,pug,0.369275,,,1.3
